pop1,pop2,pop1_hab,pop2_hab,fst
MW013,MW077,Urban,Urban,0.06071658593908915
MW013,MW039,Urban,Urban,-0.060934042087318334
MW013,MW001,Urban,Rural,0.01809211804664974
MW013,MW006,Urban,Rural,-0.03973874909125036
MW013,MW072,Urban,Urban,-0.024464078572361467
MW013,MW036,Urban,Rural,-0.023541211493988513
MW013,MW062,Urban,Urban,-0.010434210020379158
MW013,MW046,Urban,Rural,-0.004037921348314592
MW013,MW061,Urban,Urban,-0.023666589702147304
MW013,MW068,Urban,Urban,0.021897915326008335
MW013,MW029,Urban,Urban,-0.045157169402291836
MW013,MW014,Urban,Urban,-0.03163916621491399
MW013,MW003,Urban,Rural,-0.008049590375874372
MW013,MW031,Urban,Urban,-0.03228881839687869
MW013,MW015,Urban,Urban,-0.05854336306061781
MW013,MW011,Urban,Urban,-0.015602187358976422
MW013,MW064,Urban,Urban,-0.08234665037048351
MW013,MW035,Urban,Rural,-0.04343577434121639
MW013,MW008,Urban,Rural,-0.03617013289285987
MW013,MW005,Urban,Rural,-0.02104256813178482
MW013,MW074,Urban,Urban,-0.002304147465437782
MW018,MW030,Rural,Urban,-0.03298555828197875
MW018,MW019,Rural,Rural,-0.0496465168003814
MW018,MW004,Rural,Rural,-0.07835666098633558
MW018,MW021,Rural,Rural,-0.005661882590367305
MW018,MW017,Rural,Rural,-0.06385658342680628
MW018,MW007,Rural,Rural,-0.071712041387265
MW018,MW056,Rural,Urban,-0.05137003614671018
MW018,MW057,Rural,Urban,-0.07910228855567558
MW018,MW027,Rural,Urban,-0.057890869234889016
MW018,MW049,Rural,Urban,-0.03755558747077497
MW018,MW077,Rural,Urban,-0.01358582942942476
MW018,MW039,Rural,Urban,-0.07757134572244331
MW018,MW001,Rural,Rural,-0.01910849815970253
MW018,MW006,Rural,Rural,-0.08250003262727922
MW018,MW072,Rural,Urban,-0.06358262378827369
MW018,MW036,Rural,Rural,-0.06950841153912887
MW018,MW062,Rural,Urban,-0.045856441523679806
MW018,MW046,Rural,Rural,-0.033646302048650864
MW018,MW061,Rural,Urban,-0.04374771917903024
MW018,MW068,Rural,Urban,-0.011329626010879012
MW018,MW029,Rural,Urban,-0.07412230307672671
MW018,MW014,Rural,Urban,-0.07375664560704309
MW018,MW003,Rural,Rural,-0.02503036699257257
MW018,MW031,Rural,Urban,-0.09022659369030343
MW018,MW015,Rural,Urban,-0.07255918372494875
MW018,MW011,Rural,Urban,-0.0586132429648827
MW018,MW064,Rural,Urban,-0.10723212379265747
MW018,MW035,Rural,Rural,-0.0853760180609429
MW018,MW008,Rural,Rural,-0.06293905214207973
MW018,MW005,Rural,Rural,-0.06619541484022028
MW018,MW074,Rural,Urban,-0.04115346637563663
MW030,MW019,Urban,Rural,0.05477555367603285
MW030,MW004,Urban,Rural,-0.03878485709316471
MW030,MW021,Urban,Rural,0.08353089437478665
MW030,MW017,Urban,Rural,0.028584722955808738
MW030,MW007,Urban,Rural,-0.015041661492932694
MW030,MW056,Urban,Urban,0.01854944456814867
MW030,MW057,Urban,Urban,-0.007404496946222269
MW030,MW027,Urban,Urban,0.013551816843667512
MW030,MW049,Urban,Urban,0.030206832773124172
MW030,MW077,Urban,Urban,0.04413848366417734
MW030,MW039,Urban,Urban,-0.024142612737128477
MW030,MW001,Urban,Rural,0.043636101973160486
MW030,MW006,Urban,Rural,-0.029752210292522896
MW030,MW072,Urban,Urban,0.009202016151197612
MW030,MW036,Urban,Rural,0.019001729676303467
MW030,MW062,Urban,Urban,0.024112674560943324
MW030,MW046,Urban,Rural,0.029259310578710455
MW030,MW061,Urban,Urban,0.03720542409192717
MW030,MW068,Urban,Urban,0.060397378252622105
MW030,MW029,Urban,Urban,-0.004453785717860187
MW030,MW014,Urban,Urban,-0.021530357608390508
MW030,MW003,Urban,Rural,0.053091462903090386
MW030,MW031,Urban,Urban,-0.023990932581088614
MW030,MW015,Urban,Urban,-0.047267098771403726
MW030,MW011,Urban,Urban,-0.005991361293019424
MW030,MW064,Urban,Urban,-0.07370827443039256
MW030,MW035,Urban,Rural,-0.007996931632946508
MW030,MW008,Urban,Rural,-0.01663075513287267
MW030,MW005,Urban,Rural,-0.02427942635807811
MW030,MW074,Urban,Urban,0.019277000012855636
MW028,MW019,Urban,Rural,-0.16165109162515584
MW028,MW004,Urban,Rural,-0.21242544463336296
MW028,MW021,Urban,Rural,-0.1015995494005136
MW028,MW017,Urban,Rural,-0.16829489102382153
MW028,MW007,Urban,Rural,-0.17227616160157858
MW028,MW056,Urban,Urban,-0.20641245708680728
MW028,MW057,Urban,Urban,-0.19232262842280184
MW028,MW027,Urban,Urban,-0.177423140107956
MW028,MW049,Urban,Urban,-0.14651020687104535
MW028,MW077,Urban,Urban,-0.13450246713885414
MW028,MW039,Urban,Urban,-0.2067966667471997
MW028,MW001,Urban,Rural,-0.14550571873445994
MW028,MW006,Urban,Rural,-0.18934839522932242
MW028,MW072,Urban,Urban,-0.18737827647536975
MW028,MW036,Urban,Rural,-0.14681522892564117
MW028,MW062,Urban,Urban,-0.15697696367118893
MW028,MW046,Urban,Rural,-0.18497643987721427
MW028,MW061,Urban,Urban,-0.20962771203155814
MW028,MW068,Urban,Urban,-0.1261529360138455
MW028,MW029,Urban,Urban,-0.18505719733079135
MW028,MW014,Urban,Urban,-0.1804438159702705
MW028,MW003,Urban,Rural,-0.14526820879791397
MW028,MW031,Urban,Urban,-0.20078209604163647
MW028,MW015,Urban,Urban,-0.1950326486372164
MW028,MW011,Urban,Urban,-0.16837057190754906
MW028,MW064,Urban,Urban,-0.24568448813234203
MW028,MW035,Urban,Rural,-0.19804633824469714
MW028,MW008,Urban,Rural,-0.17403378847489012
MW028,MW005,Urban,Rural,-0.18724348225336376
MW028,MW074,Urban,Urban,-0.1377844311377245
MW019,MW004,Rural,Rural,-0.007537639250543318
MW019,MW021,Rural,Rural,0.07519259100614605
MW019,MW017,Rural,Rural,0.042356772607254324
MW019,MW007,Rural,Rural,0.024939317392129203
MW019,MW056,Rural,Urban,-0.004971863621317435
MW019,MW057,Rural,Urban,-0.0010940750720436355
MW019,MW027,Rural,Urban,0.008630485017937627
MW019,MW049,Rural,Urban,0.03894715472876067
MW019,MW077,Rural,Urban,0.08006806187987993
MW019,MW039,Rural,Urban,-0.008311732975198086
MW019,MW001,Rural,Rural,0.05371438608168322
MW019,MW006,Rural,Rural,-0.013078170421937403
MW019,MW072,Rural,Urban,0.0405566599769083
MW019,MW036,Rural,Rural,0.010904734933562485
MW019,MW062,Rural,Urban,0.05303625335508984
MW019,MW046,Rural,Rural,0.024733708397552043
MW019,MW061,Rural,Urban,0.02410159172406678
MW019,MW068,Rural,Urban,0.06488353176119989
MW019,MW029,Rural,Urban,0.001572020631146791
MW019,MW014,Rural,Urban,-0.004132950281757714
MW019,MW003,Rural,Rural,0.057256488035052205
MW019,MW031,Rural,Urban,-0.002817598437325876
MW019,MW015,Rural,Urban,-0.0018167059642070311
MW019,MW011,Rural,Urban,0.007079354626275938
MW019,MW064,Rural,Urban,-0.04291278162520481
MW019,MW035,Rural,Rural,-0.0317932718950758
MW019,MW008,Rural,Rural,0.00803319209039547
MW019,MW005,Rural,Rural,-0.00920892704835804
MW019,MW074,Rural,Urban,0.04234859539114771
MW004,MW021,Rural,Rural,0.02630224752733782
MW004,MW017,Rural,Rural,-0.021727322107550177
MW004,MW007,Rural,Rural,-0.0412541350495168
MW004,MW056,Rural,Urban,-0.06621833050658034
MW004,MW057,Rural,Urban,-0.06375509855800866
MW004,MW027,Rural,Urban,-0.06298677136661665
MW004,MW049,Rural,Urban,-0.02858313117185181
MW004,MW077,Rural,Urban,-0.008747794394337696
MW004,MW039,Rural,Urban,-0.08364169784811856
MW004,MW001,Rural,Rural,-0.0005266309937637505
MW004,MW006,Rural,Rural,-0.08331892988400885
MW004,MW072,Rural,Urban,-0.03870724803698472
MW004,MW036,Rural,Rural,-0.03516491926226363
MW004,MW062,Rural,Urban,-0.03148492114525961
MW004,MW046,Rural,Rural,-0.022777586613644738
MW004,MW061,Rural,Urban,-0.04037187158206266
MW004,MW068,Rural,Urban,0.0070508334625574345
MW004,MW029,Rural,Urban,-0.05853589306910251
MW004,MW014,Rural,Urban,-0.06689542785165038
MW004,MW003,Rural,Rural,-0.03127895723081365
MW004,MW031,Rural,Urban,-0.07543111676323115
MW004,MW015,Rural,Urban,-0.07289847761695979
MW004,MW011,Rural,Urban,-0.03393716426067354
MW004,MW064,Rural,Urban,-0.14307818995630298
MW004,MW035,Rural,Rural,-0.08063175394846248
MW004,MW008,Rural,Rural,-0.06937536664371159
MW004,MW005,Rural,Rural,-0.0475173399553832
MW004,MW074,Rural,Urban,-0.016522090236532238
MW021,MW017,Rural,Rural,0.05139406640464217
MW021,MW007,Rural,Rural,0.022931282107937843
MW021,MW056,Rural,Urban,0.02791079411399464
MW021,MW057,Rural,Urban,0.023243651718225653
MW021,MW027,Rural,Urban,0.024089528146010505
MW021,MW049,Rural,Urban,0.08390688143456244
MW021,MW077,Rural,Urban,0.08483406748660433
MW021,MW039,Rural,Urban,0.010839408074434382
MW021,MW001,Rural,Rural,0.08498154090115109
MW021,MW006,Rural,Rural,0.035224273896597026
MW021,MW072,Rural,Urban,0.05033471713169179
MW021,MW036,Rural,Rural,0.037871984977333024
MW021,MW062,Rural,Urban,0.06927649536048937
MW021,MW046,Rural,Rural,0.06156813172565805
MW021,MW061,Rural,Urban,0.06717312850706474
MW021,MW068,Rural,Urban,0.10966474694441264
MW021,MW029,Rural,Urban,0.009231267966504175
MW021,MW014,Rural,Urban,0.01634911989691725
MW021,MW003,Rural,Rural,0.06909221805067742
MW021,MW031,Rural,Urban,0.01665200959032352
MW021,MW015,Rural,Urban,0.011595101395365518
MW021,MW011,Rural,Urban,0.049779965956746615
MW021,MW064,Rural,Urban,-0.007984585654543531
MW021,MW035,Rural,Rural,0.027782010160322678
MW021,MW008,Rural,Rural,0.03860235593759934
MW021,MW005,Rural,Rural,0.040436678188077654
MW021,MW074,Rural,Urban,0.049937541013416804
MW017,MW007,Rural,Rural,-0.015132030857837372
MW017,MW056,Rural,Urban,-0.010539798957073587
MW017,MW057,Rural,Urban,-0.020099162362484546
MW017,MW027,Rural,Urban,-0.01113444041483746
MW017,MW049,Rural,Urban,0.034740390193107
MW017,MW077,Rural,Urban,0.05324733555136678
MW017,MW039,Rural,Urban,-0.03738931028284356
MW017,MW001,Rural,Rural,0.05674601646058831
MW017,MW006,Rural,Rural,-0.031133366343486592
MW017,MW072,Rural,Urban,-0.015610270631412326
MW017,MW036,Rural,Rural,0.002641736877877362
MW017,MW062,Rural,Urban,-0.005700223493065154
MW017,MW046,Rural,Rural,0.021997719259169525
MW017,MW061,Rural,Urban,0.01749613169976918
MW017,MW068,Rural,Urban,0.05040266643302519
MW017,MW029,Rural,Urban,-0.01907056887817898
MW017,MW014,Rural,Urban,-0.033423156094298086
MW017,MW003,Rural,Rural,0.05717759158863133
MW017,MW031,Rural,Urban,-0.03897960212669692
MW017,MW015,Rural,Urban,-0.03920377735545912
MW017,MW011,Rural,Urban,0.019994847710203514
MW017,MW064,Rural,Urban,-0.06410157406334858
MW017,MW035,Rural,Rural,-0.04217196768772883
MW017,MW008,Rural,Rural,-0.004481394100538017
MW017,MW005,Rural,Rural,-0.013327417436056598
MW017,MW074,Rural,Urban,0.005269539265062495
MW051,MW007,Urban,Rural,-0.09239499041115116
MW051,MW056,Urban,Urban,-0.09154522322461255
MW051,MW057,Urban,Urban,-0.11562411922209705
MW051,MW027,Urban,Urban,-0.08762420957542898
MW051,MW049,Urban,Urban,-0.021752629767622853
MW051,MW077,Urban,Urban,-0.07275314130206571
MW051,MW039,Urban,Urban,-0.1062516345147992
MW051,MW001,Urban,Rural,-0.04274344242593418
MW051,MW006,Urban,Rural,-0.11139192668351562
MW051,MW072,Urban,Urban,-0.07893640827405335
MW051,MW036,Urban,Rural,-0.08247055078000666
MW051,MW062,Urban,Urban,-0.05466104737287629
MW051,MW046,Urban,Rural,-0.06639489373940895
MW051,MW061,Urban,Urban,-0.07083522985889848
MW051,MW068,Urban,Urban,-0.05460904233951966
MW051,MW029,Urban,Urban,-0.0906285714285714
MW051,MW014,Urban,Urban,-0.11042794911805658
MW051,MW003,Urban,Rural,-0.056458625995049756
MW051,MW031,Urban,Urban,-0.13007653951040074
MW051,MW015,Urban,Urban,-0.15131858219250724
MW051,MW011,Urban,Urban,-0.061298186606176704
MW051,MW064,Urban,Urban,-0.15968191316461602
MW051,MW035,Urban,Rural,-0.1102170683285346
MW051,MW008,Urban,Rural,-0.09878213802435715
MW051,MW005,Urban,Rural,-0.08088739496435038
MW051,MW074,Urban,Urban,-0.09673336547733843
MW007,MW056,Rural,Urban,-0.02923684395803844
MW007,MW057,Rural,Urban,-0.051836056945807285
MW007,MW027,Rural,Urban,-0.0398901621471156
MW007,MW049,Rural,Urban,0.009908512141149035
MW007,MW077,Rural,Urban,0.02742245453753763
MW007,MW039,Rural,Urban,-0.04996542022565719
MW007,MW001,Rural,Rural,0.008517566348176341
MW007,MW006,Rural,Rural,-0.06344753861907779
MW007,MW072,Rural,Urban,-0.01933587270929125
MW007,MW036,Rural,Rural,-0.0019343199918835294
MW007,MW062,Rural,Urban,-0.022156723895788346
MW007,MW046,Rural,Rural,-0.013903746619146796
MW007,MW061,Rural,Urban,-0.009749070417330688
MW007,MW068,Rural,Urban,0.021888098662035966
MW007,MW029,Rural,Urban,-0.04220348468601053
MW007,MW014,Rural,Urban,-0.03819533514485815
MW007,MW003,Rural,Rural,0.010478199432610278
MW007,MW031,Rural,Urban,-0.04478420696710665
MW007,MW015,Rural,Urban,-0.07372134777107998
MW007,MW011,Rural,Urban,-0.01973584573986184
MW007,MW064,Rural,Urban,-0.07899371190494558
MW007,MW035,Rural,Rural,-0.03466251195304514
MW007,MW008,Rural,Rural,-0.04423284866332313
MW007,MW005,Rural,Rural,-0.05280029855460535
MW007,MW074,Rural,Urban,-0.02758493923046936
MW056,MW057,Urban,Urban,-0.04365834606034176
MW056,MW027,Urban,Urban,-0.050324549880225666
MW056,MW049,Urban,Urban,0.03022681474523109
MW056,MW077,Urban,Urban,0.027520382933107886
MW056,MW039,Urban,Urban,-0.05689911471925755
MW056,MW001,Urban,Rural,0.03288341909223562
MW056,MW006,Urban,Rural,-0.045060842974685746
MW056,MW072,Urban,Urban,-0.05033585214210677
MW056,MW036,Urban,Rural,0.003474951650134132
MW056,MW062,Urban,Urban,0.0015868554441861422
MW056,MW046,Urban,Rural,-0.005990251360820868
MW056,MW061,Urban,Urban,-0.03238866396761138
MW056,MW068,Urban,Urban,0.024464471686263235
MW056,MW029,Urban,Urban,-0.03856393240219163
MW056,MW014,Urban,Urban,-0.04045016450625291
MW056,MW003,Urban,Rural,0.0017779400232551703
MW056,MW031,Urban,Urban,-0.05196328193694271
MW056,MW015,Urban,Urban,-0.06929221501996996
MW056,MW011,Urban,Urban,-0.015733823392326853
MW056,MW064,Urban,Urban,-0.0941299465654768
MW056,MW035,Urban,Rural,-0.030636777128005197
MW056,MW008,Urban,Rural,-0.036241433842909926
MW056,MW005,Urban,Rural,-0.021138565042910215
MW056,MW074,Urban,Urban,-0.0033728135540042553
MW057,MW027,Urban,Urban,-0.04606311625773907
MW057,MW049,Urban,Urban,-0.010455448050609831
MW057,MW077,Urban,Urban,0.005312240593858866
MW057,MW039,Urban,Urban,-0.05891444902985854
MW057,MW001,Urban,Rural,-0.003504115672302964
MW057,MW006,Urban,Rural,-0.06762925679143823
MW057,MW072,Urban,Urban,-0.026801531998177915
MW057,MW036,Urban,Rural,-0.03267454909407938
MW057,MW062,Urban,Urban,-0.028604989703872413
MW057,MW046,Urban,Rural,-0.023907922167623268
MW057,MW061,Urban,Urban,-0.03173966204626595
MW057,MW068,Urban,Urban,0.000824877147246335
MW057,MW029,Urban,Urban,-0.04557715601709703
MW057,MW014,Urban,Urban,-0.058544180809743676
MW057,MW003,Urban,Rural,-0.007998071831394333
MW057,MW031,Urban,Urban,-0.07196107522781264
MW057,MW015,Urban,Urban,-0.05885978909572353
MW057,MW011,Urban,Urban,-0.029021339826083282
MW057,MW064,Urban,Urban,-0.10252366389134376
