"","population","47","18","20","19","21","17","7","49","6","23","36","45","46","9","35","8","5","MWI075","MWI016","MWI025","MWI033","MWI041","MWI049","MWI058","MWI068","MWI076","MWI017","MWI026","MWI034","MWI042","MWI050","MWI059","MWI069","MWI018","MWI027","MWI035","MWI043","MWI051","MWI060","MWI070","MWI028","MWI044","MWI052","MWI061","MWI029","MWI045","MWI053","MWI030","MWI046","MWI054","MWI073","MWI031","MWI047","MWI055","MWI074","MWI024","MWI032","MWI040","MWI048","MWI056"
"13","46",0.108388573926411,0.0677686186108269,0.0498496146932674,0.119939786463768,0.100389369738771,0.112028245186788,0.0428889670224552,0.10193790983913,0.0387699513402444,0.0668582508136556,0.0967680551913906,0.0843720851352498,0,0.0489810689174445,0.0706152143263256,0.0914808956729948,0.0683838149252016,0.114634428314258,0.049782434952491,0.122464531820024,0.0894090885942726,0.0546489630664239,0.0437168204653152,0.0898120370841173,0.109652369906059,0.116527786890624,0.0825616099599216,0.0888670551565253,0.13135905025101,0.0888116416181032,0.104247491638796,0.126171830107209,0.0851143352247631,0.108622251502924,0.00883320003554614,0.0700046843283194,0.124885962147727,0.0905594818425625,0.0982180559074403,0.0928819297503174,0.102943661495826,0.0669819311123659,0.0790031904802967,0.0177148226777573,0.0710230205429958,0.0597269043484184,0.0298644820181533,0.129114660803208,0.0882746246424159,0.0735830466872937,0.0725527172981314,0.106638690725976,0.116504854368932,0.0978398983481576,0.118704797292814,0.0883806224848455,0.0695736703235662,0.0492142919849004,0.0504893199072682,0.0442877089971717
"14","9",0.0505119288787614,-0.00296832581652814,-0.0541168065726023,0.103099252215069,0.0712273801435232,0.0751516371084689,-0.00183001103011626,0.0773594338460849,0.018615040839998,-0.0381068383504437,0.0379591215174735,-0.0949436158603128,0.0489810689174445,0,0.0353799821606348,0.0301387684301822,0.0270849500619978,-0.0147183217729657,-0.0374143685227472,-0.0248352762290928,-0.0559942569992821,-0.0514953105645019,-0.0318648789831099,-0.012636899747262,-0.0456533146755291,-0.0101146325016858,-0.0131004366812227,-0.0292275574112735,0.0430247718383312,-0.00977198697068404,-0.0138960370560988,-0.00256893303647885,-0.00150375939849624,-0.0574060949681077,-0.0918733960650128,0.00913087588772405,0.0298029971375652,-0.0277632268203248,-0.017988692821655,-0.0351091703056769,-0.0256776034236805,-0.0310381733856582,-0.0541976620616366,-0.0564568462037638,-0.0718467269824375,-0.0372792674950948,-0.04375,0.01953125,-0.0489753386592567,-0.018013381369017,-0.0623580786026201,-0.0226434965771459,-0.0190623390005152,0.0289903365544818,0.032844871147044,-0.0404482577482052,-0.0269709543568465,-0.0513698630136986,-0.0588655012486622,-0.0242020343739039
"15","35",0.0908225604668043,0.0349153048382808,0.0435183379717441,0.0908901142613157,0.0954599975476929,0.0695905094501941,0.0376907342646663,0.0988618258563863,0.0365830590314436,0.0689113897848999,0.100576374681791,0.0427108572237059,0.0706152143263256,0.0353799821606348,0,0.103326273648766,0.0555074991948666,0.0749373390850654,0.0789905621665983,0.0742688756017749,0.0842414865944678,0.0552767346365774,0.0415840883352209,0.0580321355128786,0.0573090858416946,0.0885990744636096,0.093964884171173,0.0624608532256942,0.123052087108358,0.0898842169408897,0.101747345539671,0.107281860217558,0.0575312897105158,0.0780214176440592,0.0140500916310324,0.0794896288209607,0.0974411116759871,0.0749373390850654,0.0614560352978254,0.0784999314411079,0.0792329831131454,0.0530823445445624,0.0493717926030791,0.0087565674255692,0.0712132954447602,0.0653371731060543,0.0168612662267025,0.106924896217521,0.0587342383523365,0.0370555120074111,0.0546682294491192,0.0795648500939607,0.118536952748944,0.0874155548765998,0.0923153265686761,0.0612216502017532,0.0737331153746881,0.0532956652858901,0.0478477347363961,0.0471623265572383
"16","8",0.109318118330115,0.0659180157047447,0.0187917105725325,0.149899393238244,0.115686034290489,0.130604298618057,0.0448887512827618,0.139506699341089,0.0727307353827821,0.0820479159829341,0.0888945789771356,0.0410587037665423,0.0914808956729948,0.0301387684301822,0.103326273648766,0,0.0813707866713456,0.0711909514304724,0.0886096605744126,0.107199242185033,0.0914406366737048,0.0764793143233889,0.0749709736274673,0.0539725108950721,0.0549157068936739,0.114026866604186,0.0975805159429579,0.0777269758327891,0.12488038277512,0.0937347436940603,0.100776447751537,0.147280850408258,0.0697559366754618,0.0784441902271613,0.00553784191978524,0.0620805369127517,0.110714285714286,0.0849876948318294,0.078207671957672,0.058922558922559,0.114175753688262,0.0968434969426542,0.0500769099299265,0.0095426127015466,0.0304024874762481,0.0421275211450879,0.0492469114909461,0.0966145001596934,0.0673600792471521,0.0570753123944614,0.0929782082324456,0.106617052256916,0.0798153034300792,0.0675743822491175,0.101742274819198,0.054521053514511,0.0963118054437108,0.0429928345275788,0.0761999010390896,0.047349459598559
"17","5",0.0649479060349661,0.0395476093679564,0.00407489554856354,0.0812959870820395,0.0929330302197618,0.0773256250936706,0.0117865017657631,0.0909390633041062,0.0290790430302316,0.0271845635897694,0.0742074326437699,0.0123895001943783,0.0683838149252016,0.0270849500619978,0.0555074991948666,0.0813707866713456,0,0.0192249214447411,0.0410895431001672,0.0728924302788845,-0.0122456109703903,0.0116881346691202,0.00645470577156855,0.0307174065303673,0.0642036494706016,0.04688982690357,0.0670896825778334,0.0155108406367074,0.0718462283960589,0.0505711233462076,0.0784994900560939,0.0675431229407585,0.0556636823666797,0.00173031128471338,-0.0451594939352278,-0.00877879182963921,0.0627016228077358,0.0570663203182077,0.00679431747992596,0.0214014672400709,0.0599188428562079,0.000156546242020575,0.0187129164764948,-0.0168741726293211,-0.00534426399626412,0.0326602652330911,-0.00436199375872823,0.0659774617138088,0.0403367700984988,0.0293719386816898,0.0397859584799089,0.0355353683788659,0.0457045013006685,0.0545633295100771,0.0597734590804335,0.0101295081409974,0.0592661056250102,0.0218888055347171,0.0304842400654785,0.0297776734515946
"18","MWI075",0.096758301310474,0.0296153227104459,0,0.155861929139845,0.078837472737417,0.128507123150643,-0.005922645104805,0.141516603337188,0.0346121345276323,0,0.0725311203319502,0,0.114634428314258,-0.0147183217729657,0.0749373390850654,0.0711909514304724,0.0192249214447411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","MWI016",0.0736899285338404,0.0362412215707751,0,0.174097135740971,0.0817920540997465,0.0963198699935674,-0.00578213732576142,0.134691283697906,0.0405578819397542,0,0.0772319280606574,0,0.049782434952491,-0.0374143685227472,0.0789905621665983,0.0886096605744126,0.0410895431001672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","MWI025",0.0978448205111371,0.0384701337675191,0,0.153995042276478,0.0802909986848458,0.110035356706209,0.0407735020661158,0.133190978246363,0.0586801495413298,0,0.0814513750040972,0,0.122464531820024,-0.0248352762290928,0.0742688756017749,0.107199242185033,0.0728924302788845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","MWI033",0.0435758500359479,-0.0114853224335371,0,0.153932699191981,0.068081069426477,0.0722883231876038,-0.0364102111120925,0.103511503200138,0.0110813909056172,0,0.0433284520630546,0,0.0894090885942726,-0.0559942569992821,0.0842414865944678,0.0914406366737048,-0.0122456109703903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","MWI041",0.056138356329561,0.00775705561973925,0,0.131329779772759,0.0625549142906366,0.079739500538434,-0.0324897039670526,0.111488456656719,-0.0420426466550745,0,0.0920917158312769,0,0.0546489630664239,-0.0514953105645019,0.0552767346365774,0.0764793143233889,0.0116881346691202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
